option-charge-color-fabric-office-furniture,en,Option Charge (Color Fabric Office Furniture)
operator-credit,en,Operator Credit
one-time-license-fee,en,One-Time License Fee
one-time-engineering-charge,en,One Time Engineering Charge
on-hand-service,en,On Hand Service
on-deck-break-bulk-differential,en,On Deck Break Bulk Differential
on-carriage,en,On Carriage
offshore-alaska-hawaii,en,Offshore - Alaska/Hawaii
official-report-charge,en,Official Report Charge
ocean-freight,en,Ocean Freight
ocean-charges----hazardous,en,Ocean Charges -- Hazardous
o-t-o-charge,en,O.T.O. Charge
nozzle-charge,en,Nozzle Charge
notify-consignee,en,Notify Consignee
normal-pump-charge,en,Normal Pump Charge
non-generated-freight,en,Non Generated Freight
non-document-surcharge,en,Non-document Surcharge
no-return-credit-allowance,en,No Return Credit Allowance
new-york-pick-up-charge,en,New York Pick-up Charge
new-york-delivery-charge,en,New York Delivery Charge
new-warehouse-discount,en,New Warehouse Discount
new-store-discount,en,New Store Discount
new-store-allowance,en,New Store Allowance
n-h-d-wharfage,en,N.H.D. Wharfage
mutually-defined,en,Mutually Defined
municipal-surcharge,en,Municipal Surcharge
multi-tank-surveillance-service,en,Multi-Tank Surveillance Service
mount-demount,en,Mount/Demount
motor-vehicle-report-mvr-charge,en,Motor Vehicle Report (MVR) Charge
motor-surveillance-service,en,Motor Surveillance Service
monthly-rental,en,Monthly Rental
molding,en,Molding
modified-atmosphere,en,Modified Atmosphere
missing-account-nbr-charge,en,Missing Account NBR Charge
miscellaneous-parts-charge,en,Miscellaneous Parts Charge
miscellaneous-origin,en,Miscellaneous - Origin
miscellaneous-destination,en,Miscellaneous - Destination
miscellaneous-charge,en,Miscellaneous Charge
minimum-order-minimum-billing-charge,en,Minimum Order/Minimum Billing Charge
minimum-maximum-charge,en,Minimum/Maximum Charge
minimum-guarantee,en,Minimum Guarantee
minimum-charge,en,Minimum Charge
minimum-bill-of-lading-charge,en,Minimum Bill of Lading Charge
minimum-air-transportation-charge,en,Minimum Air Transportation Charge
mill-freight,en,Mill Freight
mileage-or-travel,en,Mileage or Travel
mileage-fee-for-repair-and-return,en,Mileage Fee (For Repair and Return)
metropolitan-transit-tax,en,Metropolitan Transit Tax
meter-charge,en,Meter Charge
metals-surcharge,en,Metals Surcharge
messenger-service,en,Messenger Service
message-rate-adjustment,en,Message Rate Adjustment
message-charge,en,Message Charge
medical-report-charge,en,Medical Report Charge
meals-or-lodging-charge,en,Meals or Lodging Charge
meals,en,Meals
marriage-rule,en,Marriage Rule
markup-charge,en,Markup Charge
marking-or-tagging-charge,en,Marking or Tagging Charge
market-development-funds,en,Market Development Funds
manufacturing,en,Manufacturing
manual-surveillance-of-shipment,en,Manual Surveillance of Shipment
manifest-charge,en,Manifest Charge
mailing-service-fee,en,Mailing - Service Fee
mailing-postage-cost,en,Mailing - Postage Cost
machining-charge,en,Machining Charge
lubricant-charge,en,Lubricant Charge
lot-charge,en,Lot Charge
lodging,en,Lodging
locomotive-under-own-power,en,Locomotive Under Own Power
locomotive-delayed-in-switching-service,en,Locomotive Delayed in Switching Service
local-tax,en,Local Tax
local-sales-tax-all-applicable-sales-taxes-by-taxing-authorities-below-the-state-level,en,Local Sales Tax (All Applicable Sales Taxes by Taxing Authorities Below the State Level)
local-delivery-drayage,en,Local Delivery/Drayage
loan-interest,en,Loan Interest
loan-fee,en,Loan Fee
loading-unloading-of-privately-owned-vehicle-charge,en,Loading/Unloading of Privately Owned Vehicle Charge
loading-labor-charges,en,Loading (Labor Charges)
loading-allowance,en,Loading Allowance
loading,en,Loading
load-weighing-charge,en,Load Weighing Charge
liquidated-damages,en,Liquidated Damages
liner-terms-at-port-of-embarkation,en,Liner Terms at Port of Embarkation
liner-terms-at-port-of-debarkation,en,Liner Terms at Port of Debarkation
linehaul-to-port-of-embarkation,en,Linehaul to Port of Embarkation
linehaul-service,en,Linehaul Service
linehaul-percent-differential,en,Linehaul Percent Differential
linehaul-from-port-of-debarkation,en,Linehaul from Port of Debarkation
limited-liability,en,Limited Liability
light-bar-service-charge,en,Light Bar Service Charge
lift-gate-truck-or-forklift-service-at-pick-up-delivery,en,Lift Gate (Truck) or Forklift Service at Pick-up/Delivery
lift-charge-intermodal,en,Lift Charge (Intermodal)
lifeline-surcharge,en,Lifeline Surcharge
license-and-title,en,License and Title
liability-of-carrier-charge,en,Liability of Carrier Charge
letter-of-credit-processing,en,Letter of Credit Processing
less-than-container,en,Less than Container
leaking-underground-storage-tax-lust,en,Leaking underground storage tax (LUST)
lead-factor,en,Lead Factor
layover-service-charge,en,Layover Service Charge
layover-charges,en,Layover Charges
late-payment-charge,en,Late payment charge
late-order-charge,en,Late Order Charge
lashing,en,Lashing
land-currency-adjustment-factor-40-foot-container,en,Land Currency Adjustment Factor - 40 Foot Container
land-currency-adjustment-factor-20-foot-container,en,Land Currency Adjustment Factor - 20 Foot Container
lading-adjustment-charge,en,Lading Adjustment Charge
laboratory-pack-fee,en,Laboratory Pack Fee
labor-test-and-calibrate,en,"Labor,en, Test and Calibrate"
labor-service,en,Labor Service
labor-repair-and-return-orders,en,Labor (Repair and Return Orders)
labor-no-trouble-found,en,"Labor,en, No Trouble Found"
labor-modify,en,"Labor,en, Modify"
labor-cost-of-removal,en,Labor Cost of Removal
labor-charges,en,Labor Charges
labor-adjustment-allowance,en,Labor Adjustment Allowance
keep-from-freezing-percent-differential,en,Keep from Freezing Percent Differential
junction-settlement-charge,en,Junction Settlement Charge
item-unit,en,Item-Unit
item-percentage,en,Item Percentage
italian-release-charge,en,Italian Release Charge
island-pick-up-charge,en,Island Pick-Up Charge
island-delivery-charge,en,Island Delivery Charge
irish-arbitraries,en,Irish Arbitraries
invoice-adjustment,en,Invoice Adjustment
intra-plant-charge,en,Intra-plant Charge
interstate-highway-toll,en,Interstate/Highway Toll
interpreter-expense,en,Interpreter Expense
interplant-charge,en,Interplant Charge
international-door-to-door-handling-fee,en,International Door-to-Door Handling Fee
intermodal-storage-origin,en,Intermodal Storage (Origin)
intermodal-storage-destination,en,Intermodal Storage (Destination)
intermodal-shipment-service-charge,en,Intermodal Shipment Service Charge
interline-transfer-charge,en,Interline Transfer Charge
interest-on-security-deposit,en,Interest on security deposit
interest-on-refund,en,Interest on refund
interest,en,Interest
interdivision-profit,en,Interdivision Profit
integrated-business-services-ibs-service-charge,en,Integrated Business Services (IBS) Service Charge
insurance-surcharge,en,Insurance Surcharge
insurance-premium,en,Insurance Premium
insurance-placement-cost-charge,en,Insurance Placement Cost Charge
insurance-fee,en,Insurance Fee
insurance,en,Insurance
insulated-tank-charge,en,Insulated Tank Charge
inspection-fee,en,Inspection Fee
inside-pick-up,en,Inside Pick-up
inside-delivery,en,Inside Delivery
